Country / Territory,Year,Date of Event,Disaster Internal Displacements,Hazard Category,Hazard Type,Hazard Sub Type
Brazil,2008,2008-03-30,190000,Weather related,Flood,Flood
Central African Republic,2008,2008-07-01,14000,Weather related,Flood,Flood
Canada,2008,2008-10-04,200,Weather related,Flood,Flood
Canada,2008,2008-04-26,1830,Weather related,Flood,Flood
Chile,2008,2008-02-05,8000,Geophysical,Volcanic activity,Volcanic activity
Chile,2008,2008-05-19,12000,Weather related,Flood,Flood
Chile,2008,2008-08-29,23000,Weather related,Flood,Flood
China,2008,2008-08-22,394,Weather related,Storm,Storm
China,2008,2008-08-08,500,Weather related,Storm,Storm
China,2008,2008-06-10,855,Geophysical,Earthquake,Earthquake
China,2008,2008-02-05,1900,Weather related,Flood,Flood
China,2008,2008-05-27,4600,Weather related,Flood,Flood
China,2008,2008-06-24,6000,Weather related,Storm,Storm
China,2008,2008-05-08,16000,Geophysical,Earthquake,Earthquake
China,2008,2008-10-31,25000,Weather related,Flood,Flood
China,2008,2008-07-07,31000,Weather related,Flood,Flood
China,2008,2008-07-08,42100,Weather related,Flood,Flood
China,2008,2008-04-19,120000,Weather related,Storm,Storm
China,2008,2008-07-28,274300,Weather related,Storm,Storm
China,2008,2008-08-30,650000,Geophysical,Earthquake,Earthquake
China,2008,2008-10-01,827000,Weather related,Extreme Temperature,Cold wave
China,2008,2008-07-06,1660000,Weather related,Flood,Flood
China,2008,2008-12-05,15000000,Geophysical,Earthquake,Earthquake
Cameroon,2008,2008-07-01,1000,Weather related,Flood,Flood
"Congo, Dem. Rep.",2008,2008-02-04,500,Weather related,Flood,Flood
Colombia,2008,2008-12-13,20000,Weather related,Flood,Flood
Costa Rica,2008,2008-11-22,600,Weather related,Flood,Flood
Costa Rica,2008,2008-02-09,2140,Weather related,Flood,Flood
Costa Rica,2008,2008-10-13,2529,Weather related,Flood,Flood
Costa Rica,2008,2008-11-26,6890,Weather related,Flood,Flood
Cuba,2008,2008-08-20,13000,Weather related,Storm,Storm
Cuba,2008,2008-08-11,20000,Weather related,Storm,Storm
Cuba,2008,2008-11-17,20000,Weather related,Flood,Flood
Cuba,2008,2008-08-29,61000,Weather related,Storm,Storm
Cuba,2008,2008-08-09,2616000,Weather related,Storm,Storm
Cayman Islands,2008,2008-08-26,715,Weather related,Storm,Storm
Dominican Republic,2008,2008-08-26,4360,Weather related,Storm,Storm
Dominican Republic,2008,2008-08-18,4565,Weather related,Storm,Storm
Algeria,2008,2008-01-31,25000,Weather related,Flood,Flood
Ecuador,2008,2008-01-30,13871,Weather related,Flood,Flood
"Egypt, Arab Rep.",2008,2008-06-09,20000,Geophysical,Mass Movement,Dry mass movement
Ethiopia,2008,2008-05-30,810,Weather related,Flood,Flood
Ethiopia,2008,2008-08-20,20000,Weather related,Flood,Flood
Ethiopia,2008,2008-11-16,52000,Weather related,Flood,Flood
Finland,2008,2008-01-28,20,Weather related,Storm,Storm
France,2008,2008-03-08,870,Weather related,Storm,Storm
Ghana,2008,2008-07-01,14292,Weather related,Flood,Flood
"Gambia, The",2008,2008-09-01,400,Weather related,Flood,Flood
Guinea-Bissau,2008,2008-07-01,750,Weather related,Flood,Flood
Guatemala,2008,2008-01-12,2241,Weather related,Extreme Temperature,Cold wave
Guatemala,2008,2008-07-21,5000,Weather related,Storm,Storm
Indonesia,2008,2008-11-11,2400,Weather related,Flood,Flood
Indonesia,2008,2008-02-20,3315,Geophysical,Earthquake,Earthquake
Indonesia,2008,2008-11-02,3500,Weather related,Flood,Flood
Indonesia,2008,2008-04-15,5000,Geophysical,Volcanic activity,Volcanic activity
Indonesia,2008,2008-10-03,5060,Weather related,Flood,Flood
Indonesia,2008,2008-11-17,10000,Geophysical,Earthquake,Earthquake
Indonesia,2008,2008-05-01,16000,Weather related,Mass Movement,Landslide/Wet mass movement
Indonesia,2008,2008-06-09,17352,Weather related,Flood,Flood
Indonesia,2008,2008-10-01,31500,Weather related,Flood,Flood
Indonesia,2008,2008-04-23,34000,Weather related,Flood,Flood
